GEO_ID,FIPS,POPGROUP,POPGROUP_TTL,NAME,B01003_001E,B01003_001M
id,,Race/Ethnic Group,Population Groups,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
0400000US01,01,13,Asian Indian alone (400-401),Alabama,12251,1069
0400000US02,02,13,Asian Indian alone (400-401),Alaska,648,209
0400000US04,04,13,Asian Indian alone (400-401),Arizona,33458,2234
0400000US05,05,13,Asian Indian alone (400-401),Arkansas,6080,815
0400000US06,06,13,Asian Indian alone (400-401),California,496350,9087
0400000US08,08,13,Asian Indian alone (400-401),Colorado,17029,1453
0400000US09,09,13,Asian Indian alone (400-401),Connecticut,44715,2303
0400000US10,10,13,Asian Indian alone (400-401),Delaware,11396,1003
0400000US11,11,13,Asian Indian alone (400-401),District of Columbia,4849,599
0400000US12,12,13,Asian Indian alone (400-401),Florida,126708,3394
0400000US13,13,13,Asian Indian alone (400-401),Georgia,87759,2908
0400000US15,15,13,Asian Indian alone (400-401),Hawaii,2041,455
0400000US16,16,13,Asian Indian alone (400-401),Idaho,2156,442
0400000US17,17,13,Asian Indian alone (400-401),Illinois,183051,3615
0400000US18,18,13,Asian Indian alone (400-401),Indiana,24384,1522
0400000US19,19,13,Asian Indian alone (400-401),Iowa,9059,1039
0400000US20,20,13,Asian Indian alone (400-401),Kansas,14044,1062
0400000US21,21,13,Asian Indian alone (400-401),Kentucky,10842,1039
0400000US22,22,13,Asian Indian alone (400-401),Louisiana,9123,1007
0400000US23,23,13,Asian Indian alone (400-401),Maine,1901,425
0400000US24,24,13,Asian Indian alone (400-401),Maryland,76617,2747
0400000US25,25,13,Asian Indian alone (400-401),Massachusetts,68956,2721
0400000US26,26,13,Asian Indian alone (400-401),Michigan,80803,2788
0400000US27,27,13,Asian Indian alone (400-401),Minnesota,31357,1963
0400000US28,28,13,Asian Indian alone (400-401),Mississippi,4826,645
0400000US29,29,13,Asian Indian alone (400-401),Missouri,21634,1424
0400000US31,31,13,Asian Indian alone (400-401),Nebraska,5431,651
0400000US32,32,13,Asian Indian alone (400-401),Nevada,8637,1165
0400000US33,33,13,Asian Indian alone (400-401),New Hampshire,8962,999
0400000US34,34,13,Asian Indian alone (400-401),New Jersey,279275,5191
0400000US35,35,13,Asian Indian alone (400-401),New Mexico,3778,573
0400000US36,36,13,Asian Indian alone (400-401),New York,341134,6192
0400000US37,37,13,Asian Indian alone (400-401),North Carolina,52534,2033
0400000US38,38,13,Asian Indian alone (400-401),North Dakota,984,287
0400000US39,39,13,Asian Indian alone (400-401),Ohio,60559,2078
0400000US40,40,13,Asian Indian alone (400-401),Oklahoma,10348,1097
0400000US41,41,13,Asian Indian alone (400-401),Oregon,13676,1072
0400000US42,42,13,Asian Indian alone (400-401),Pennsylvania,100269,3062
0400000US44,44,13,Asian Indian alone (400-401),Rhode Island,3659,777
0400000US45,45,13,Asian Indian alone (400-401),South Carolina,12690,1182
0400000US46,46,13,Asian Indian alone (400-401),South Dakota,723,274
0400000US47,47,13,Asian Indian alone (400-401),Tennessee,19693,1496
0400000US48,48,13,Asian Indian alone (400-401),Texas,230842,6133
0400000US49,49,13,Asian Indian alone (400-401),Utah,5011,724
0400000US50,50,13,Asian Indian alone (400-401),Vermont,1379,328
0400000US51,51,13,Asian Indian alone (400-401),Virginia,96091,3339
0400000US53,53,13,Asian Indian alone (400-401),Washington,52187,2604
0400000US54,54,13,Asian Indian alone (400-401),West Virginia,2949,486
0400000US55,55,13,Asian Indian alone (400-401),Wisconsin,19909,1484
0400000US72,72,13,Asian Indian alone (400-401),Puerto Rico,9337,987
0400000US06,06,14,Bangladeshi alone (402),California,6483,1310
0400000US09,09,14,Bangladeshi alone (402),Connecticut,1639,624
0400000US12,12,14,Bangladeshi alone (402),Florida,5194,1033
0400000US13,13,14,Bangladeshi alone (402),Georgia,3668,819
0400000US17,17,14,Bangladeshi alone (402),Illinois,1839,511
0400000US24,24,14,Bangladeshi alone (402),Maryland,3622,918
0400000US25,25,14,Bangladeshi alone (402),Massachusetts,1321,415
0400000US26,26,14,Bangladeshi alone (402),Michigan,3901,863
0400000US34,34,14,Bangladeshi alone (402),New Jersey,5459,1013
0400000US36,36,14,Bangladeshi alone (402),New York,39198,2451
0400000US39,39,14,Bangladeshi alone (402),Ohio,1007,470
0400000US42,42,14,Bangladeshi alone (402),Pennsylvania,2155,607
0400000US48,48,14,Bangladeshi alone (402),Texas,7422,1271
0400000US51,51,14,Bangladeshi alone (402),Virginia,3828,810
0400000US01,01,15,Cambodian alone (405-409),Alabama,1028,373
0400000US04,04,15,Cambodian alone (405-409),Arizona,2077,763
0400000US06,06,15,Cambodian alone (405-409),California,88141,3915
0400000US08,08,15,Cambodian alone (405-409),Colorado,2265,477
0400000US09,09,15,Cambodian alone (405-409),Connecticut,2460,644
0400000US12,12,15,Cambodian alone (405-409),Florida,6138,1352
0400000US13,13,15,Cambodian alone (405-409),Georgia,4090,771
0400000US17,17,15,Cambodian alone (405-409),Illinois,3864,956
0400000US18,18,15,Cambodian alone (405-409),Indiana,1090,459
0400000US19,19,15,Cambodian alone (405-409),Iowa,693,254
0400000US20,20,15,Cambodian alone (405-409),Kansas,981,449
0400000US23,23,15,Cambodian alone (405-409),Maine,1056,346
0400000US24,24,15,Cambodian alone (405-409),Maryland,2793,702
0400000US25,25,15,Cambodian alone (405-409),Massachusetts,26286,1611
0400000US26,26,15,Cambodian alone (405-409),Michigan,1677,473
0400000US27,27,15,Cambodian alone (405-409),Minnesota,7827,1160
0400000US29,29,15,Cambodian alone (405-409),Missouri,932,351
0400000US32,32,15,Cambodian alone (405-409),Nevada,1401,591
0400000US36,36,15,Cambodian alone (405-409),New York,5289,978
0400000US37,37,15,Cambodian alone (405-409),North Carolina,4062,836
0400000US39,39,15,Cambodian alone (405-409),Ohio,4876,999
0400000US41,41,15,Cambodian alone (405-409),Oregon,2937,679
0400000US42,42,15,Cambodian alone (405-409),Pennsylvania,12516,1700
0400000US44,44,15,Cambodian alone (405-409),Rhode Island,4655,788
0400000US45,45,15,Cambodian alone (405-409),South Carolina,1630,466
0400000US47,47,15,Cambodian alone (405-409),Tennessee,1923,559
0400000US48,48,15,Cambodian alone (405-409),Texas,12040,1659
0400000US49,49,15,Cambodian alone (405-409),Utah,1910,502
0400000US51,51,15,Cambodian alone (405-409),Virginia,6107,912
0400000US53,53,15,Cambodian alone (405-409),Washington,15928,1688
0400000US55,55,15,Cambodian alone (405-409),Wisconsin,1299,458
0400000US01,01,16,Chinese alone (410-419),Alabama,9999,978
0400000US02,02,16,Chinese alone (410-419),Alaska,2003,405
0400000US04,04,16,Chinese alone (410-419),Arizona,35584,2048
