GEO_ID,FIPS,POPGROUP,POPGROUP_LABEL,NAME,B01003_001E,B01003_001M
id,,Race/Ethnic Group,Population Groups,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
0400000US01,01,13,Asian Indian alone (400-401),Alabama,11915,1242
0400000US02,02,13,Asian Indian alone (400-401),Alaska,856,298
0400000US04,04,13,Asian Indian alone (400-401),Arizona,43322,2482
0400000US05,05,13,Asian Indian alone (400-401),Arkansas,9737,1037
0400000US06,06,13,Asian Indian alone (400-401),California,635718,9307
0400000US08,08,13,Asian Indian alone (400-401),Colorado,24383,1783
0400000US09,09,13,Asian Indian alone (400-401),Connecticut,54019,2432
0400000US10,10,13,Asian Indian alone (400-401),Delaware,14105,1029
0400000US11,11,13,Asian Indian alone (400-401),District of Columbia,5730,463
0400000US12,12,13,Asian Indian alone (400-401),Florida,139420,4269
0400000US13,13,13,Asian Indian alone (400-401),Georgia,111111,3983
0400000US15,15,13,Asian Indian alone (400-401),Hawaii,2338,431
0400000US16,16,13,Asian Indian alone (400-401),Idaho,2301,538
0400000US17,17,13,Asian Indian alone (400-401),Illinois,215703,4905
0400000US18,18,13,Asian Indian alone (400-401),Indiana,34121,2168
0400000US19,19,13,Asian Indian alone (400-401),Iowa,13139,896
0400000US20,20,13,Asian Indian alone (400-401),Kansas,14992,1096
0400000US21,21,13,Asian Indian alone (400-401),Kentucky,13068,1051
0400000US22,22,13,Asian Indian alone (400-401),Louisiana,10475,1466
0400000US23,23,13,Asian Indian alone (400-401),Maine,2006,531
0400000US24,24,13,Asian Indian alone (400-401),Maryland,87575,3144
0400000US25,25,13,Asian Indian alone (400-401),Massachusetts,86775,3017
0400000US26,26,13,Asian Indian alone (400-401),Michigan,90301,2585
0400000US27,27,13,Asian Indian alone (400-401),Minnesota,38200,1831
0400000US28,28,13,Asian Indian alone (400-401),Mississippi,6077,791
0400000US29,29,13,Asian Indian alone (400-401),Missouri,24620,1342
0400000US31,31,13,Asian Indian alone (400-401),Nebraska,6497,694
0400000US32,32,13,Asian Indian alone (400-401),Nevada,11206,1215
0400000US33,33,13,Asian Indian alone (400-401),New Hampshire,9590,873
0400000US34,34,13,Asian Indian alone (400-401),New Jersey,338600,4677
0400000US35,35,13,Asian Indian alone (400-401),New Mexico,3988,636
0400000US36,36,13,Asian Indian alone (400-401),New York,351953,6564
0400000US37,37,13,Asian Indian alone (400-401),North Carolina,72627,2719
0400000US38,38,13,Asian Indian alone (400-401),North Dakota,2030,552
0400000US39,39,13,Asian Indian alone (400-401),Ohio,71128,2423
0400000US40,40,13,Asian Indian alone (400-401),Oklahoma,12602,1029
0400000US41,41,13,Asian Indian alone (400-401),Oregon,18775,1383
0400000US42,42,13,Asian Indian alone (400-401),Pennsylvania,114874,2958
0400000US44,44,13,Asian Indian alone (400-401),Rhode Island,5362,807
0400000US45,45,13,Asian Indian alone (400-401),South Carolina,15528,1255
0400000US46,46,13,Asian Indian alone (400-401),South Dakota,1180,303
0400000US47,47,13,Asian Indian alone (400-401),Tennessee,25668,1731
0400000US48,48,13,Asian Indian alone (400-401),Texas,309002,6742
0400000US49,49,13,Asian Indian alone (400-401),Utah,7379,909
0400000US50,50,13,Asian Indian alone (400-401),Vermont,1192,356
0400000US51,51,13,Asian Indian alone (400-401),Virginia,120754,3504
