,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop
1,06081,26,Pakistani alone (445),1017
2,25027,13,Asian Indian alone (400-401),11017
3,37081,34,"Cambodian alone or in any combination (405-409) & (100-299) or (300, A01-Z99) or (400-999)",1227
4,53033,17,Chinese (except Taiwanese) alone (410-411),79421
5,04013,33,"Bangladeshi alone or in any combination (402) & (100-299) or (300, A01-Z99) or (400-999)",1415
6,26125,20,Hmong alone (422),911
7,41039,22,Japanese alone (430-439),1335
8,48439,47,"Thai alone or in any combination (447-449) & (100-299) or (300, A01-Z99) or (400-999)",2244
9,06111,13,Asian Indian alone (400-401),11527
10,12086,32,"Asian Indian alone or in any combination (400-401) & (100-299) or (300, A01-Z99) or (400-999)",12862
11,06055,35,"Chinese alone or in any combination (410-419) & (100-299) or (300, A01-Z99) or (400-999)",1550
12,06055,13,Asian Indian alone (400-401),644
13,09003,43,"Laotian alone or in any combination (442) & (100-299) or (300, A01-Z99) or (400-999)",1803
14,51161,13,Asian Indian alone (400-401),1089
15,06029,13,Asian Indian alone (400-401),9917
16,27053,48,"Vietnamese alone or in any combination (450-459) & (100-299) or (300, A01-Z99) or (400-999)",12169
17,27109,42,"Korean alone or in any combination (440-441) & (100-299) or (300, A01-Z99) or (400-999)",941
18,06067,13,Asian Indian alone (400-401),31047
19,08041,29,Vietnamese alone (450-459),1626
20,12011,28,Thai alone (447-449),1060
21,06099,19,Filipino alone (420-421),5943
22,01089,38,"Filipino alone or in any combination (420-421) & (100-299) or (300, A01-Z99) or (400-999)",1823
23,06007,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",4453
24,06111,48,"Vietnamese alone or in any combination (450-459) & (100-299) or (300, A01-Z99) or (400-999)",4712
25,19101,13,Asian Indian alone (400-401),706
26,29095,29,Vietnamese alone (450-459),2383
27,36001,32,"Asian Indian alone or in any combination (400-401) & (100-299) or (300, A01-Z99) or (400-999)",5732
28,06085,44,"Malaysian alone or in any combination (443) & (100-299) or (300, A01-Z99) or (400-999)",689
29,12117,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",948
30,18097,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",1588
31,20209,20,Hmong alone (422),1066
32,22051,16,Chinese alone (410-419),2676
33,36083,13,Asian Indian alone (400-401),919
34,51003,23,Korean alone (440-441),552
35,39009,16,Chinese alone (410-419),1169
36,55109,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",432
37,13059,42,"Korean alone or in any combination (440-441) & (100-299) or (300, A01-Z99) or (400-999)",1220
38,24021,48,"Vietnamese alone or in any combination (450-459) & (100-299) or (300, A01-Z99) or (400-999)",1275
39,27003,38,"Filipino alone or in any combination (420-421) & (100-299) or (300, A01-Z99) or (400-999)",1084
40,37067,36,"Chinese (except Taiwanese) alone or in any combination (410-411) & (100-299) or (300, A01-Z99) or (400-999)",1783
41,08035,48,"Vietnamese alone or in any combination (450-459) & (100-299) or (300, A01-Z99) or (400-999)",1296
42,17143,13,Asian Indian alone (400-401),3160
43,18003,29,Vietnamese alone (450-459),891
44,21227,81,"Burmese alone or in any combination (404) & (100-299) or (300, A01-Z99) or (400-999)",1352
45,17113,17,Chinese (except Taiwanese) alone (410-411),698
46,36047,26,Pakistani alone (445),23415
47,40143,23,Korean alone (440-441),1319
48,55079,20,Hmong alone (422),12790
