,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
5272,19127,73,Burmese alone (404),569,7.56896690784294,4306.742170562633,,420.8469189417745
3653,36067,73,Burmese alone (404),1492,7.52117646578563,11221.59528695216,,1229.572748484551
517,20209,73,Burmese alone (404),1511,8.45801045535062,12780.053798034785,,1.2732685435771935
2518,24031,73,Burmese alone (404),925,8.82256236656146,8160.87018906935,,143.28777924069192
4166,48341,73,Burmese alone (404),1180,6.51487169649379,7687.5486018626725,,4323.304378506795
3968,17031,73,Burmese alone (404),711,10.794362484756,7674.791726661516,,3978.063524206186
2498,06059,73,Burmese alone (404),632,9.16850397509893,5794.494512262524,,345.63645933024145
93,53033,73,Burmese alone (404),1355,6.00819917603582,8141.109883528536,,7940.555060113036
769,06073,73,Burmese alone (404),1689,7.85726438502988,13270.919546315467,,552.0677853674615
1072,06037,73,Burmese alone (404),4476,10.0245384042183,44869.83389728111,,11395.005541593755
2411,06001,73,Burmese alone (404),2249,9.64136846914229,21683.43768710101,,3305.7636596160737
98,04013,73,Burmese alone (404),2729,6.70777531571864,18305.51883659617,,8084.803221216128
3129,48113,73,Burmese alone (404),2214,9.22988068041192,20434.955826431993,,1420.1461851950246
1550,48029,73,Burmese alone (404),1109,8.87285395214993,9839.995032934272,,218.49799475899349
503,18097,73,Burmese alone (404),4226,10.4469623267947,44148.86279303441,,17209.31006111283
1936,48121,73,Burmese alone (404),1727,8.70451626461258,15032.699588985926,,131.11258383411985
698,55079,73,Burmese alone (404),1356,9.10130853297599,12341.374370715443,,612.9436118787313
737,21111,73,Burmese alone (404),924,9.77015065884852,9027.619208776032,,1662.030272353775
5355,26025,73,Burmese alone (404),1089,8.41589785436223,9164.912763400469,,0.1864238849130079
12,06081,73,Burmese alone (404),2380,8.62868769305074,20536.27670946076,,94.92027028927676
2983,49035,73,Burmese alone (404),1100,7.03761323308293,7741.374556391223,,2129.4969632558254
3613,27123,73,Burmese alone (404),8817,7.32246367501573,64562.1622226137,,10795.378162921013
4231,36065,73,Burmese alone (404),3002,6.60382066609048,19824.66963960362,,10000.301295294468
676,40143,73,Burmese alone (404),1252,8.56969817024443,10729.262109146028,,24.79099336612754
2918,17043,73,Burmese alone (404),1229,9.72603098773726,11953.292083929093,,2067.5918576621752
470,06085,73,Burmese alone (404),1075,9.52476700749084,10239.124533052654,,1290.8012469482155
850,36081,73,Burmese alone (404),2158,9.26689393328259,19997.95710802383,,1515.1249779540528
1177,48201,73,Burmese alone (404),2888,9.69979688545933,28013.013405206544,,4664.036613177968
657,36047,73,Burmese alone (404),1672,9.46112269766838,15818.997150501531,,1781.2065971017116
3221,36029,73,Burmese alone (404),3110,8.8109609744516,27402.088630544476,,453.774294573135
565,24021,73,Burmese alone (404),875,9.15472933046254,8010.388164154723,,460.8708656905621
629,18003,73,Burmese alone (404),3330,10.1293450127347,33730.71889240655,,9627.813380015363
1117,19153,73,Burmese alone (404),2355,7.39804423722831,17422.394178672672,,2502.9696913272055
1005,31055,73,Burmese alone (404),2759,6.90902409700064,19061.997483624767,,6374.038366227435
1242,13089,73,Burmese alone (404),3550,8.91584748278997,31651.25856390439,,841.4857826575113
1351,06075,73,Burmese alone (404),1125,7.9258551486833,8916.587042268713,,284.7784160837366
2859,48375,73,Burmese alone (404),2300,6.67596663971323,15354.723271340428,,7068.042489955643
2177,12031,73,Burmese alone (404),1861,6.80005731369965,12654.906660795048,,4937.967715706817
632,21227,73,Burmese alone (404),1352,8.45186332791409,11426.91921933985,,0.7078624903750387
5133,46005,73,Burmese alone (404),1014,6.81016778365329,6905.510132624436,,2657.246455681063
40,,73,Burmese alone (404),81367,,685840.9574781115,8.42898174294384,1.276327218568616
